name,component,total
xmit_bytes,switch13:port0,0
xmit_bytes,switch13:port1,0
xmit_bytes,switch13:port2,0
xmit_bytes,switch13:port3,0
xmit_bytes,switch13:port4,0
xmit_bytes,switch13:port5,0
xmit_bytes,switch13:port6,0
xmit_bytes,switch13:port7,0
xmit_bytes,switch14:port0,0
xmit_bytes,switch14:port1,0
xmit_bytes,switch14:port2,0
xmit_bytes,switch14:port3,0
xmit_bytes,switch14:port4,0
xmit_bytes,switch14:port5,0
xmit_bytes,switch14:port6,0
xmit_bytes,switch14:port7,0
xmit_bytes,switch15:port0,0
xmit_bytes,switch15:port1,0
xmit_bytes,switch15:port2,0
xmit_bytes,switch15:port3,0
xmit_bytes,switch15:port4,0
xmit_bytes,switch15:port5,0
xmit_bytes,switch15:port6,0
xmit_bytes,switch15:port7,0
xmit_bytes,switch16:port0,0
xmit_bytes,switch16:port1,0
xmit_bytes,switch16:port2,0
xmit_bytes,switch16:port3,0
xmit_bytes,switch16:port4,0
xmit_bytes,switch16:port5,0
xmit_bytes,switch16:port6,0
xmit_bytes,switch16:port7,0
xmit_bytes,switch17:port0,0
xmit_bytes,switch17:port1,0
xmit_bytes,switch17:port2,0
xmit_bytes,switch17:port3,0
xmit_bytes,switch17:port4,0
xmit_bytes,switch17:port5,0
xmit_bytes,switch17:port6,0
xmit_bytes,switch17:port7,0
xmit_bytes,switch18:port0,0
xmit_bytes,switch18:port1,0
xmit_bytes,switch18:port2,0
xmit_bytes,switch18:port3,0
xmit_bytes,switch18:port4,0
xmit_bytes,switch18:port5,0
xmit_bytes,switch18:port6,0
xmit_bytes,switch18:port7,0
xmit_bytes,switch19:port0,0
xmit_bytes,switch19:port1,0
xmit_bytes,switch19:port2,0
xmit_bytes,switch19:port3,0
xmit_bytes,switch19:port4,0
xmit_bytes,switch19:port5,0
xmit_bytes,switch19:port6,0
xmit_bytes,switch19:port7,0
xmit_bytes,switch20:port0,0
xmit_bytes,switch20:port1,0
xmit_bytes,switch20:port2,0
xmit_bytes,switch20:port3,0
xmit_bytes,switch20:port4,0
xmit_bytes,switch20:port5,0
xmit_bytes,switch20:port6,0
xmit_bytes,switch20:port7,0
xmit_bytes,switch21:port0,0
xmit_bytes,switch21:port1,0
