Epoch,Time,Inactive,Compute,MPI
0,      0.0000,0,60679433000000,339014051000000
1,      1.0000,0,52997954000000,347002046000000
2,      2.0000,0,60240262000000,339759738000000
3,      3.0000,0,58638637000000,341361363000000
4,      4.0000,0,59518278000000,340481722000000
5,      5.0000,86545000000,19939298000000,115409557000000
