Epoch,Time,Inactive,Compute,MPI
0,      0.0000,0,60134085000000,339559755000000
1,      1.0000,0,52621384000000,347378616000000
2,      2.0000,0,59861168000000,340138832000000
3,      3.0000,0,58434655000000,341565345000000
4,      4.0000,0,59752640000000,340247360000000
5,      5.0000,86545000000,20014239000000,116998536000000
