0	40.53748	3.96289	6.60608	0	1.32097	5.94432	0	0	0	0	0	0	0	0	0
48.26607	0	0	0	6.60608	0	1.32096	5.94432	0	0	0	0	0	0	0	0
3.97824	0	0	32.61429	1.31841	5.9456	0	0	3.63264	3.46752	0	0	0	0	0	0
6.6304	0.67584	40.34287	0	0	3.2896	0	0	0	0	3.63264	3.46752	0	0	0	0
0	6.6304	1.33376	0	0	38.92152	0	0	0	0	0	0	3.63264	3.47392	0	0
1.32608	0	5.96992	3.30496	46.62068	0	0	1.31585	0	0.84928	0.49344	0	0	0	3.63904	2.1632
5.96736	1.32608	0	0	0	0	0	38.02928	3.61856	0.82368	3.152	3.61856	0.49344	0	0	0
0	5.96736	0	0	0	1.3312	45.75788	0	0	3.61856	0	0	3.12512	2.96064	0	0
0	0	3.65568	0	0	0	3.63392	0	0	34.25908	0	0	0	0.65792	2.96064	0
0	0	3.46752	0	0	0.8224	0.848	3.63392	41.98767	0	0	0.8224	0.82368	0	0.65792	2.13824
0	0	0	3.63264	0	0.49856	3.12512	0	0	0	0	34.42356	1.97376	3.29088	0	0
0	0	0	3.46752	0	0	3.62368	0	0	0.83776	42.15215	0	0	0	3.29089	0
0	0	0	0	3.63264	0	0.51648	3.13024	0	0.848	1.98912	0	0	32.77874	1.48032	2.13824
0	0	0	0	3.46752	0	0	2.98368	0	0	3.3152	0	40.50735	0	0	1.6448
0	0	0	0	0	3.63264	0	0	2.98368	0.66304	0	3.3152	1.49568	0	0	33.93012
0	0	0	0	0	2.14656	0	0	0	2.15488	0	0	2.15488	1.6576	41.64335	0
